Ahnung,idea
fühlen,sentir
ganz,entero
gefährlich,peligroso
gegenüber,enfrente
gelten,valer
genau,exacto
genug,suficiente
geschehen,suceder
gesund,sano
hamburger,hamburguesa
hart,duro
heiß,caliente
heraus,afuera
herstellen,fabricar
herunterladen,descargar
hinter,detrás de
hoffen,esperar
husten,toser
hängen,colgar
hässlich,feo
informieren,informar
intelligent,inteligente
interessant,interesante
interessieren,interesar
irgendwie,de alguna manera
irgendwo,en algún lugar
jemals,nunca
joggen,hacer footing
kalt,frío
keiner,en cualquier/ningún caso
klavier,piano
klingen,sonar
klug,listo
komisch,raro
kontrollieren,controlar
kostenlos,gratis
kriegen,conseguir
kühl,fresco
langweilig,aburrido
lassen,dejar
leer,vacío
leiden,sufrir
leihen,prestar
leisten,permitirse
liefern,entregar
lügen,mentir
magen,estómago
mal,vez
malen,pintar
manchmal,a veces
meinen,opinar
meister,mayoría
merken,darse cuenta
mindestens,por lo menos
mittagessen,almuerzo
modern,moderno
nass,mojado
natürlich,por supuesto
neben,al lado
nebenan,al lado
neblig,con niebla
nennen,llamar
nervös,nervioso
nett,amable
niemals,nunca
niemand,nadie
nirgends,en ninguna parte
notieren,anotar
notwendig,necesario
nützlich,útil
offen,abierto
offenbar,obviamente
online,en línea
organisieren,organizar
packen,hacer la maleta
parken,aparcar
passen,quedar bien
perfekt,perfecto
plakat,cartel
planen,planear
praktisch,práctico
preiswert,barato
privat,privado
probieren,probar
prüfen,comprobar
putzen,limpiar
raten,adivinar
raus,afuera
rechnen,calcular
reden,hablar
regeln,reglas
reich,rico
reifen,neumático
rein,adentro
reiten,montar
renovieren,renovar
reservieren,reservar
romantisch,romántico
rufen,llamar
rund,redondo
rücken,espalda
sammeln,coleccionar
sauer,ácido
schade,lástima
schaffen,lograr
scharf,picante
schenken,regalar
schimpfen,regañar
schließlich,finalmente
schlimm,grave
schmutzig,sucio
schneiden,cortar
schrecklich,terrible
schwach,débil
schwanger,embarazada
schwierig,difícil
seif,jabón
selber,mismo
selbst,mismo
setzen,sentar
sicher,seguro
singen,cantar
sogar,incluso
solange,mientras
sonst,si no
sowieso,de todos modos
spannend,emocionante
sparen,ahorrar
spazieren,pasear
speichern,guardar
sportlich,deportivo
spüren,sentir
stark,fuerte
statt,en lugar de
stattfinden,tener lugar
streiten,discutir
streng,estricto
stressig,estresante
ständig,constantemente
stören,molestar
surfen,navegar
sympathisch,simpático
süß,dulce
süßigkeien,dulces
teilen,compartir
teilnehmen,participar
tief,profundo
total,totalmente
tragen,llevar
trainieren,entrenar
traurig,triste
trocken,seco
träumen,soñar
typisch,típico
umsteigen,hacer transbordo
unbedingt,absolutamente
unterhalten,charlar
untersuchen,examinar
unterwegs,de camino
verabreden,con una cita
verandern,cambiar
vereinbaren,acordar
vergleichen,comparar
verletzen,herir
verlieben,enamorarse
vermissen,echar de menos
verpassen,perder
verreisen,irse de viaje
verschieben,posponer
verschieden,diferente
versuchen,intentar
verändern,cambiar
voll,lleno
volleyball,voleibol
vorbei,pasado
vorbereiten,preparar
vorgestern,anteayer
vorher,antes
vorn,delante
vorsichtig,con cuidado
vorwärts,hacia adelante
wach,despierto
wachen,vigilar
wagen,coche
wahrscheinlich,probablemente
warm,caliente
wechseln,cambiar
wecken,despertar
wegen,a causa de
wehtun,doler
weich,blando
weil,porque
welcher,cuál
wenigstens,por lo menos
wenn,cuando
wieder,otra vez
windig,ventoso
wirklich,de verdad
witzig,gracioso
wundern,sorprenderse
wählen,elegir
wünschen,desear
zeichnen,dibujar
zeigen,mostrar
ziehen,tirar
zuerst,primero
zufällig,por casualidad
zuhören,escuchar
zuletzt,por último
zumachen,cerrar
zwar,ciertamente
Übersetzung,traducción
ändern,cambiar
ärgern,enfadar
üben,practicar
überall,en todas partes
übermorgen,pasado mañana
übersetzen,traducir
übrig,restante
