Onkel,tío
Opa,abuelo
Ordnung,orden
Ort,lugar
Paar,par
Papa,papá
Papier,papel
Park,parque
Partner,pareja
Party,fiesta
Pass,pasaporte
Pause,pausa
Person,persona
Plan,plan
Platz,plaza
Polizei,policía
Pommes,patatas fritas
Post,correos
Postleitzahl,código postal
Praktikum,prácticas
Praxis,consulta
Preis,precio
Problem,problema
Prospekt,folleto
Prüfung,examen
Rad,rueda
Raum,habitación
Rechnung,factura
Reis,arroz
Reise,viaje
Reisebüro,agencia de viajes
Reiseführer,guía de viaje
Reparatur,reparación
Rezeption,recepción
S-bahn,tren de cercanías
Sache,cosa
Saft,zumo
Salat,ensalada
Salz,sal
Satz,frase
Schalter,ventanilla
Schild,señal
Schlaf,sueño
Schluss,final
Schlüssel,llave
Schrank,armario
Schuh,zapato
Schule,escuela
Schwester,hermana
Schwimmbad,piscina
Schüler,alumno
See,lago
Sehenswürdigkeit,monumento
Seite,lado
Sofa,sofá
Sofort,inmediatamente
Sohn,hijo
Sonne,sol
Spiel,juego
Sport,deporte
Sprache,idioma
Spät,tarde
Stadt,ciudad
Stelle,puesto
Stock,piso
Strasse,calle
Straße,calle
Straßenbahn,tranvía
Student,estudiante
Studentin,estudiante
Studium,estudios
Stunde,hora
Tag,día
Tante,tía
Tasche,bolso
Taxi,taxi
Tee,té
Teil,parte
Telefon,teléfono
Termin,cita
Test,prueba
Teuer,caro
Text,texto
Thema,tema
Ticket,billete
Tisch,mesa
Tochter,hija
Toilette,baño
Tomat,tomate
Tot,muerto
Treppe,escalera
Tür,puerta
Uhr,reloj
Unterricht,clase
Unterschrift,firma
Urlaub,vacaciones
Vater,padre
Verein,club
Verkäufer,vendedor
Vermieter,arrendador
Verwandte,pariente
Vorname,nombre
Vorsicht,cuidado
Vorwahl,prefijo
Wasser,agua
Weh,doler
Wein,vino
Welt,mundo
Wetter,tiempo
Wind,viento
Wohnung,apartamento
Wort,palabra
Zahl,número
Zeit,tiempo
Zeitung,periódico
Zigarette,cigarrillo
Zimmer,habitación
Zoll,aduana
Zucker,azúcar
Zug,tren
Zurzeit,actualmente
ab,desde
abendessen,cena
aber,pero
abfahren,partir
abfliegen,despegar
abgeben,entregar
abholen,recoger
alle,todo
allein,solo
also,entonces
alt,viejo
an,en
anbieten,ofrecer
and,otro
anfangen,empezar
anklicken,hacer clic
ankommen,llegar
ankreuzen,marcar con una cruz
anmachen,encender
anmelden,inscribirse
anrufen,llamar por teléfono
anziehen,vestir
arbeiten,trabajar
auch,también
auf,sobre
aufhören,terminar
aufstehen,levantarse
aus,de
ausfüllen,rellenar
ausmachen,apagar
aussehen,parecer
aussteigen,bajar
ausziehen,quitarse
baden,bañarse
bald,pronto
bedeuten,significar
beginnen,empezar
bei,en
beide,ambos
bekannt,famoso
bekommen,recibir
benutzen,utilizar
bereit,listo
besetzen,ocupado
bestellen,pedir
besuchen,visitar
bezahlen,pagar
billig,barato
bis,hasta
bisschen,un poco
bitte,por favor
bitten,pedir
bitter,amargo
bleiben,quedarse
blume,flores
bogen,hoja
brauchen,necesitar
breit,ancho
bringen,traer
brötchen,panecillo
böse,enfadado
da,ahí
daneben,al lado
dank,agradecimiento
danken,agradecer
dann,entonces
dauern,durar
dein,tu
denn,porque
dich,te
dieser,este
dir,te
dort,allí
draußen,fuera
drucken,imprimir
drücken,pulsar
durch,a través de
durst,sed
dusch,ducharse
dürfen,poder
eben,justo
eilig,con prisa
ein,un
einfach,fácil
einkaufen,ir de compras
einladen,invitar
einmal,una vez
einsteigen,subir
empfehlen,recomendar
enden,terminar
endlich,finalmente
entschuldigen,disculpar
er,él
erklären,explicar
erlauben,permitir
erzählen,contar
es,ello
euer,vuestro
fahren,ir
fallen,gustar
falsch,falso
fast,casi
fehlen,faltar
feiern,celebrar
fertig,listo
fest,fiesta
finden,encontrar
fisch,pescado
fliegen,volar
fragen,preguntar
frei,libre
freuen,alegrarse
früh,antes
frühstücken,desayunar
für,para
gar,nada
garten,jardín
geben,dar
gebären,dar a luz
gegen,contra
gehen,ir
gehören,pertenecer
genauso,igual
gerade,recto
gern,con gusto
gestern,ayer
gewinnen,ganar
geöffnet,abierto
glauben,creer
gleich,igual
glücklich,feliz
grad,grado
gratulieren,felicitar
groß,grande
großelter,abuelos
gut,bueno
gültig,válido
günstig,barato
haben,tener
halten,parar
heiraten,casarse
heißen,llamarse
helfen,ayudar
hell,claro
herzlich,cordial
heute,hoy
hier,aquí
hin,hacia
hinten,detrás
hoch,alto
holen,ir a buscar
hähnchen,pollo
hören,oír
ich,yo
ihr,vosotros
immer,siempre
in,en
international,internacional
ja,sí
jeder,cada
jetzt,ahora
jung,joven
kaputt,roto
kaufen,comprar
kaum,apenas
kein,ningún
kennen,conocer
kennenlernen,conocer a alguien
klar,claro
klein,pequeño
kochen,cocinar
kommen,venir
kosten,costar
krank,enfermo
kuchen,pastel
kulturell,cultural
kurz,corto
können,poder
kümmern,cuidar
lachen,reír
laden,tienda
lang,largo
lange,mucho tiempo
langsam,despacio
laufen,correr
laut,alto
leben,vivir
ledig,soltero
legen,poner
leiben,querido
leicht,fácil
leider,lamentablemente
leise,bajo
lernen,aprender
lesen,leer
lieb,preferiblemente
lieben,amar
liegen,estar tumbado
links,izquierda
lustig,divertido
längst,hace tiempo
machen,hacer
man,se
mehr,más
mein,mi
meist,la mayoría
mieten,alquilar
mit,con
mitbringen,traer consigo
mitkommen,acompañar
mitmach,participar
mitnehmen,llevar consigo
morgen,mañana
männlich,masculino
möchten,querer
mögen,gustar
möglich,posible
müde,cansado
müssen,deber
nach,a
nehmen,coger
nein,no
neu,nuevo
nicht,no
nichts,nada
nie,nunca
noch,todavía
normal,normal
nur,solo
oben,arriba
oder,o
oft,a menudo
ohne,sin
passieren,ocurrir
plötzlich,de repente
pünktlich,puntual
rauchen,fumar
rechts,derecha
rege,lluvia
regnen,llover
reisen,viajar
reparieren,reparar
restaurant,restaurante
richtig,correcto
riechen,oler
ruhig,tranquilo
sagen,decir
scheinen,brillar
schicken,enviar
schinken,jamón
schlafen,dormir
schlecht,malo
schließen,cerrado
schmecken,saber (de sabor)
schnell,rápido
schon,ya
schreiben,escribir
schwer,difícil
schwimmen,nadar
schön,bonito
sehen,ver
sehr,muy
sein,ser
seit,desde
selbstständig,autónomo
sich,se
sie,ella
sitzen,estar sentado
so,así
sollen,deber
spielen,jugar
sprechen,hablar
spät,más tarde
stehen,estar de pie
stellen,colocar
sterben,morir
stimmen,estar bien
studieren,estudiar
suchen,buscar
tanzen,bailar
telefonieren,telefonear
toll,genial
treffen,encontrarse
trinken,beber
tun,hacer
um,a las
umziehen,mudarse
und,y
unser,nuestro
unten,abajo
unter,debajo
unterschreiben,firmar
verbieten,prohibido
verdienen,ganar
vergessen,olvidar
verheiratet,casado
verkaufen,vender
verlieren,perder
vermieten,alquilar
verstehen,entender
viel,mucho
vielleicht,quizás
von,de
vor,delante de
vorstellen,presentar
wahr,verdadero
wandern,hacer senderismo
wann,cuándo
warten,esperar
warum,por qué
was,qué
waschen,lavar
weiblich,femenino
weinen,llorar
weit,lejos
weiter,continuar
welch,cuál
wenig,poco
wer,quién
werden,llegar a ser
wichtig,importante
wie,cómo
wiederholen,repetir
wiederhören,hasta luego (por teléfono)
wiedersehen,hasta la vista
wieviel,cuánto
willkommen,bienvenido
wir,nosotros
wissen,saber
wo,dónde
woher,de dónde
wohin,a dónde
wohl,probablemente
wohnen,vivir
wollen,querer
wunderbar,maravilloso
zahlen,pagar
ziemlich,bastante
zu,a
zufrieden,satisfecho
zurück,de vuelta
zusammen,juntos
zwischen,entre
Öl,aceite
öffnen,abrir
über,sobre
übernachten,pernoctar
überraschen,sorprender
überweisen,transferir
